productId,productDisplayName,publisherDisplayName
917615e4-400e-22f9-d4c5-36ff30dec6c9,Creative Force Triad,Creative Force
7519768a-afaa-1fcf-82c7-36f81e0e17fc,Crestron AirMedia app,"Crestron Electronics, Inc."
7a0cb87a-d1d4-0f54-1340-36f81ee7e28c,Crestron AirMedia Peripheral Installer,"Crestron Electronics, Inc."
a8923e7d-e2b0-0e7f-0f9a-36ed86444979,CrisisGo App,CrisisGo Inc.
28c141b7-f0b6-7f0c-ea6a-36e8f4afccdf,Cryptomator,Skymatic GmbH
f7c7c739-f80a-d970-c0ed-37085fd4bc36,Cube Browser,Rystad Energy
64b94cdf-98d4-d9ea-02d1-35e155743f59,CutePDF Writer,Acro Software
bf2e2d16-73dc-a91a-1ad2-3610e36e48fe,Cyberduck CLI,iterate GmbH
2f25af8f-290e-5ea7-4890-35e155bec832,Dane Prairie Systems Win2PDF,Dane Prairie Systems
cadde8d8-68de-6825-2098-371d29b44336,Datadog Agent,Datadog
2d2a542a-b139-6be7-a397-372f6ae71308,DataGrip,JetBrains
2f05f19b-2741-1465-cb10-36d550830d2e,DataGrip 1.0,JetBrains
cb370888-8cbd-b729-cb01-36d5507e2665,DataGrip 2016.3,JetBrains
bb384283-a2e4-7054-a123-36d54fd8770d,DataGrip 2020.3,JetBrains
8621f412-82f1-97b7-5798-36d54ebbe036,DataGrip 2021.1,JetBrains
d4b10aeb-8008-348a-76e2-36d54cef2418,DataGrip 2021.3,JetBrains
f50ad668-b95e-0021-76d2-36d54ccd87e2,DataGrip 2022.1,JetBrains
d20f1c57-e960-4981-76cc-36d54cc8a84a,DataGrip 2022.2,JetBrains
a9d68721-407c-3f63-a109-3714ff487860,DataGrip 2024.1,JetBrains
11eb1251-6ea8-ca93-f243-3712c6a91bd4,DataSpell,JetBrains
3bd13be4-9b96-7047-17d2-35e1558d0628,David Kocher Cyberduck,David Kocher
94ef293a-8991-a0e3-6267-35eeec844496,DAX Studio,DAX Studio
2d101a64-8023-7d16-2b0e-35e9396cfeba,DB Browser for SQLite,DB Browser for SQLite Team
dbd5e418-e148-25e9-374b-364d89074a63,DBeaver Community,DBeaver Corp
64f65adc-a1f8-54cf-4542-368171236190,DBeaver Enterprise,DBeaver Corp
17969c71-9356-2592-ecf9-368175cea79b,DBeaver Lite,DBeaver Corp
3bb417fa-169a-ffe2-b2ed-368172e9137e,DBeaver Ultimate,DBeaver Corp
cbe78260-4299-1fca-a71c-36c9b63b2046,DbVisualizer,DbVis Software AB
f76c98f3-69a8-67c2-5f67-36fef822a947,Dedoose Desktop App,Dedoose
77754466-6042-f2f4-02e3-35e15574744e,Defraggler,Piriform Ltd
8b0f0319-29b4-1fa2-dc8c-36d5e5aa95f6,Delinea Connection Manager,Delinea
c955891c-0285-6fc3-28b2-35e155a0b804,Dell Command Update,"Dell, Inc."
2b7d73ba-e92f-a6ab-ffd9-366496f6cf40,Dell Command Update (Windows Universal Application),"Dell, Inc."
1b67716b-7d61-899e-5a70-36171dcf05cc,Dell Display Manager,"Dell, Inc."
af80a719-d1f4-b518-62f0-367698013d65,Dell EMC System Update,"Dell, Inc."
036b5ac8-f198-c621-6bce-36d4bbbd2012,Dell Peripheral Manager,"Dell, Inc."
e9650f8c-f52b-908f-5815-35e155cae156,Dell SupportAssist,"Dell, Inc."
416e35f3-c517-6a0c-240e-3722a8bf86c0,Devolutions Launcher,Devolutions inc
f6d0268e-cd54-9d25-4ea1-35e155c31da3,Devolutions Remote Desktop Manager,Devolutions inc
03a13a55-2ad7-94e0-4eb7-35e155c3285e,Devolutions Remote Desktop Manager Agent,Devolutions inc
b27d0922-9fed-f3fb-29d7-3722aac79470,Devolutions Workspace,Devolutions inc
95e03b85-801b-8d08-22a1-372568d53de6,DevPod,loft
2b817553-848f-8470-3f3a-370d83daa99a,digiSeal Reader,secrypt MgbH
8bb26882-3ab0-8143-1ca0-3711d0e56d16,Directory Opus,GP Software
ef355c7f-6956-db08-8ff5-3730b5ed0832,DiRoots ProSheets,"DiRoots, LDA"
135bad01-1850-06dd-3cf7-3730240fb2ba,DisplayLink Dock Driver,"Dell, Inc."
